ride_id,rideable_type,start_time,end_time,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,starttime,week_start
06A1B8869E4D1271,classic_bike,2020/12/28 6:03,2020/12/28 6:43,Elston Ave & Wabansia Ave,TA1309000032,Clarendon Ave & Gordon Ter,13379,41.912919,-87.664169,41.95786652,-87.64950514,member,2020-12-28 06:03:00,2020-12-28
8460BF06B2EBCAE8,classic_bike,2020/12/28 6:03,2020/12/28 6:15,Wells St & Concord Ln,TA1308000050,St. Clair St & Erie St,13016,41.912133,-87.634656,41.89434514,-87.62279838,member,2020-12-28 06:03:00,2020-12-28
FBD47CC8429EBDBD,classic_bike,2020/12/28 6:03,2020/12/28 6:14,Wabash Ave & Roosevelt Rd,TA1305000002,St. Clair St & Erie St,13016,41.867227,-87.625961,41.89434514,-87.62279838,member,2020-12-28 06:03:00,2020-12-28
7FBE640A81E475ED,electric_bike,2020/12/28 6:03,2020/12/28 6:14,,,Paulina St & Flournoy St,KA1504000104,41.87,-87.63,41.87377933,-87.66899683,member,2020-12-28 06:03:00,2020-12-28
8358DDE26DA3469F,classic_bike,2020/12/28 6:04,2020/12/28 6:18,Dearborn St & Van Buren St,624,Throop St & Taylor St,13139,41.876268,-87.629155,41.868968,-87.659141,member,2020-12-28 06:04:00,2020-12-28
44C5934CDAA70735,electric_bike,2020/12/28 6:04,2020/12/28 6:09,Desplaines St & Jackson Blvd,15539,Clinton St & Lake St,13021,41.87788183,-87.64420817,41.88510817,-87.64249333,casual,2020-12-28 06:04:00,2020-12-28
935FDF88317B4054,classic_bike,2020/12/28 6:06,2020/12/28 6:17,Broadway & Cornelia Ave,13278,Clarendon Ave & Leland Ave,TA1307000119,41.945529,-87.646439,41.967968,-87.650001,member,2020-12-28 06:06:00,2020-12-28
07DF068192BFA6D8,electric_bike,2020/12/28 6:08,2020/12/28 6:40,Kosciuszko Park,15643,Ogden Ave & Congress Pkwy,13081,41.93054483,-87.72382417,41.87502733,-87.673271,member,2020-12-28 06:08:00,2020-12-28
375477FA2C989AAC,classic_bike,2020/12/28 6:09,2020/12/28 6:17,Clinton St & Washington Blvd,WL-012,Racine Ave & Randolph St,13155,41.88338,-87.64117,41.884069,-87.656853,member,2020-12-28 06:09:00,2020-12-28
6FC8C9F994F258BB,classic_bike,2020/12/28 6:09,2020/12/28 6:23,Michigan Ave & 14th St,TA1307000124,St. Clair St & Erie St,13016,41.864059,-87.623727,41.89434514,-87.62279838,member,2020-12-28 06:09:00,2020-12-28
303AFE249EEFED5D,electric_bike,2020/12/28 6:09,2020/12/28 6:23,Clinton St & Washington Blvd,WL-012,St. Clair St & Erie St,13016,41.8832025,-87.6409975,41.8940615,-87.62363883,member,2020-12-28 06:09:00,2020-12-28
43330FC63032BCE2,classic_bike,2020/12/28 6:09,2020/12/28 6:18,Wabash Ave & Roosevelt Rd,TA1305000002,Michigan Ave & Washington St,13001,41.867227,-87.625961,41.88398406,-87.62468398,member,2020-12-28 06:09:00,2020-12-28
EAC0318039FF3C4A,classic_bike,2020/12/28 6:10,2020/12/28 6:25,Sheridan Rd & Montrose Ave,TA1307000107,Lincoln Ave & Diversey Pkwy,TA1307000064,41.96167,-87.65464,41.932225,-87.658617,member,2020-12-28 06:10:00,2020-12-28
432ADAAE52A64562,classic_bike,2020/12/28 6:11,2020/12/28 6:24,Canal St & Madison St,13341,St. Clair St & Erie St,13016,41.882091,-87.639833,41.89434514,-87.62279838,member,2020-12-28 06:11:00,2020-12-28
4D75E2337EEDD4A3,classic_bike,2020/12/28 6:12,2020/12/28 6:25,Clark St & 9th St (AMLI),SL-009,St. Clair St & Erie St,13016,41.870816,-87.631246,41.89434514,-87.62279838,member,2020-12-28 06:12:00,2020-12-28
AF22CE2AB026143A,electric_bike,2020/12/28 6:13,2020/12/28 6:27,Sheridan Rd & Greenleaf Ave,KA1504000159,,,42.01063117,-87.66241233,41.99,-87.67,member,2020-12-28 06:13:00,2020-12-28
E94121AE8A1C1E3C,classic_bike,2020/12/28 6:17,2020/12/28 6:37,California Ave & Montrose Ave,15622,California Ave & Montrose Ave,15622,41.961068,-87.695439,41.961068,-87.695439,member,2020-12-28 06:17:00,2020-12-28
96B12CC933424BD1,classic_bike,2020/12/28 6:17,2020/12/28 6:25,MLK Jr Dr & 29th St,TA1307000139,State St & 33rd St,13216,41.842052,-87.617,41.834734,-87.625813,member,2020-12-28 06:17:00,2020-12-28
A34A7391AB9C9098,classic_bike,2020/12/28 6:17,2020/12/28 6:49,Broadway & Thorndale Ave,15575,Southport Ave & Clybourn Ave,TA1309000030,41.98974251,-87.66014062,41.920771,-87.663712,member,2020-12-28 06:17:00,2020-12-28
DA2A82C44E166BA1,electric_bike,2020/12/28 6:18,2020/12/28 6:31,Ashland Ave & Chicago Ave,13247,Fairbanks St & Superior St,18003,41.89604183,-87.6677135,41.89582333,-87.62044983,member,2020-12-28 06:18:00,2020-12-28
0AAA7DBCF3393802,classic_bike,2020/12/28 6:18,2020/12/28 6:37,Ashland Ave & Blackhawk St,13224,St. Clair St & Erie St,13016,41.907066,-87.667252,41.89434514,-87.62279838,member,2020-12-28 06:18:00,2020-12-28
A19D61248C313F55,classic_bike,2020/12/28 6:18,2020/12/28 6:22,Sheffield Ave & Fullerton Ave,TA1306000016,Greenview Ave & Fullerton Ave,TA1307000001,41.92560188,-87.65370804,41.92533,-87.6658,member,2020-12-28 06:18:00,2020-12-28
09258DC24BB4EFB1,classic_bike,2020/12/28 6:19,2020/12/28 6:41,Sheffield Ave & Wellington Ave,TA1307000052,Dearborn Pkwy & Delaware Pl,TA1307000128,41.936266,-87.652662,41.898969,-87.629912,member,2020-12-28 06:19:00,2020-12-28
C9143D15BF5C024F,electric_bike,2020/12/28 6:19,2020/12/28 6:35,Michigan Ave & 18th St,13150,McClurg Ct & Erie St,KA1503000041,41.8578805,-87.62465333,41.89304183,-87.6181645,member,2020-12-28 06:19:00,2020-12-28
